paper,metric,case,method,collocation_points,mean,std,n_runs
2306.08827v2,L2RE,Burgers1d,PINN,512,0.459,0.0836,3
2306.08827v2,L2RE,GS,PINN,512,0.246,0.109,3
2306.08827v2,L2RE,Heat2d-CG,PINN,512,0.431,0.0657,3
2306.08827v2,L2RE,Poisson2d-C,PINN,512,0.0315,0.00404,3
2306.08827v2,L2RE,Burgers1d,PINN,2048,0.26,0.243,3
2306.08827v2,L2RE,GS,PINN,2048,0.0937,0.00026,3
2306.08827v2,L2RE,Heat2d-CG,PINN,2048,0.202,0.0192,3
2306.08827v2,L2RE,Poisson2d-C,PINN,2048,0.0262,0.00231,3
2306.08827v2,L2RE,Burgers1d,PINN,8192,0.0214,0.00176,3
2306.08827v2,L2RE,GS,PINN,8192,0.0941,0.000605,3
2306.08827v2,L2RE,Heat2d-CG,PINN,8192,0.135,0.0171,3
2306.08827v2,L2RE,Poisson2d-C,PINN,8192,0.0258,0.000651,3
2306.08827v2,L2RE,Burgers1d,PINN,32768,0.0144,0.000491,3
2306.08827v2,L2RE,GS,PINN,32768,0.0937,3.89e-05,3
2306.08827v2,L2RE,Heat2d-CG,PINN,32768,0.0373,0.00323,3
2306.08827v2,L2RE,Poisson2d-C,PINN,32768,0.0263,0.00232,3
2306.08827v2,L2RE,Burgers1d,PINN-LRA,512,0.28,0.202,3
2306.08827v2,L2RE,GS,PINN-LRA,512,0.0939,0.000166,3
2306.08827v2,L2RE,Heat2d-CG,PINN-LRA,512,0.366,0.0386,3
2306.08827v2,L2RE,Poisson2d-C,PINN-LRA,512,0.03,0.00316,3
2306.08827v2,L2RE,Burgers1d,PINN-LRA,2048,0.182,0.185,3
2306.08827v2,L2RE,GS,PINN-LRA,2048,0.133,0.0557,3
2306.08827v2,L2RE,Heat2d-CG,PINN-LRA,2048,0.207,0.00496,3
2306.08827v2,L2RE,Poisson2d-C,PINN-LRA,2048,0.0257,0.00178,3
2306.08827v2,L2RE,Burgers1d,PINN-LRA,8192,0.0188,0.000945,3
2306.08827v2,L2RE,GS,PINN-LRA,8192,0.0936,0.000214,3
2306.08827v2,L2RE,Heat2d-CG,PINN-LRA,8192,0.101,0.0218,3
2306.08827v2,L2RE,Poisson2d-C,PINN-LRA,8192,0.0282,0.000812,3
2306.08827v2,L2RE,Burgers1d,PINN-LRA,32768,0.0149,0.00151,3
2306.08827v2,L2RE,GS,PINN-LRA,32768,0.117,0.0325,3
2306.08827v2,L2RE,Heat2d-CG,PINN-LRA,32768,0.0444,0.0105,3
2306.08827v2,L2RE,Poisson2d-C,PINN-LRA,32768,0.0249,0.000632,3
