paper,source,metric,family,case,method,mean,std,n_runs
2306.08827v2,main_table,L2RE,Burgers,1d-C,PINN,0.0145,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,PINN-w,0.0263,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,LBFGS,0.0133,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,LRA,0.0261,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,NTK,0.0184,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,RAR,0.0332,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,MultiAdam,0.0485,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,gPINN,0.216,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,vPINN,0.347,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,LAAF,0.0143,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,GAAF,0.052,,3
2306.08827v2,main_table,L2RE,Burgers,1d-C,FBPINN,0.232,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,PINN,0.324,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,PINN-w,0.27,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,LBFGS,0.465,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,LRA,0.26,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,NTK,0.275,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,RAR,0.345,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,MultiAdam,0.333,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,gPINN,0.327,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,vPINN,0.638,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,LAAF,0.277,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,GAAF,0.295,,3
2306.08827v2,main_table,L2RE,Burgers,2d-C,FBPINN,,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,PINN,0.694,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,PINN-w,0.0349,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,LBFGS,,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,LRA,0.117,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,NTK,0.0123,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,RAR,0.699,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,MultiAdam,0.0263,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,gPINN,0.687,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,vPINN,0.491,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,LAAF,0.768,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,GAAF,0.604,,3
2306.08827v2,main_table,L2RE,Poisson,2d-C,FBPINN,0.0449,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,PINN,0.636,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,PINN-w,0.0608,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,LBFGS,0.296,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,LRA,0.0434,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,NTK,0.0143,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,RAR,0.648,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,MultiAdam,0.276,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,gPINN,0.792,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,vPINN,0.286,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,LAAF,0.48,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,GAAF,0.871,,3
2306.08827v2,main_table,L2RE,Poisson,2d-CG,FBPINN,0.029,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,PINN,0.56,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,PINN-w,0.374,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,LBFGS,0.705,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,LRA,0.102,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,NTK,0.947,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,RAR,0.576,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,MultiAdam,0.363,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,gPINN,0.485,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,vPINN,0.738,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,LAAF,0.579,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,GAAF,0.502,,3
2306.08827v2,main_table,L2RE,Poisson,3d-CG,FBPINN,0.739,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,PINN,0.63,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,PINN-w,0.76,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,LBFGS,1.45,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,LRA,0.794,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,NTK,0.748,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,RAR,0.644,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,MultiAdam,0.59,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,gPINN,0.616,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,vPINN,0.972,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,LAAF,0.593,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,GAAF,0.931,,3
2306.08827v2,main_table,L2RE,Poisson,2d-MS,FBPINN,1.04,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,PINN,1.01,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,PINN-w,0.235,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,LBFGS,0.232,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,LRA,0.212,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,NTK,0.214,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,RAR,0.966,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,MultiAdam,0.475,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,gPINN,2.12,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,vPINN,0.94,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,LAAF,0.642,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,GAAF,0.849,,3
2306.08827v2,main_table,L2RE,Heat,2d-VC,FBPINN,0.952,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,PINN,0.0621,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,PINN-w,0.242,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,LBFGS,0.0173,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,LRA,0.0879,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,NTK,0.044,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,RAR,0.0749,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,MultiAdam,0.218,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,gPINN,0.113,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,vPINN,0.93,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,LAAF,0.074,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,GAAF,0.985,,3
2306.08827v2,main_table,L2RE,Heat,2d-MS,FBPINN,0.082,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,PINN,0.0364,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,PINN-w,0.145,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,LBFGS,0.857,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,LRA,0.125,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,NTK,0.116,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,RAR,0.0272,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,MultiAdam,0.0712,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,gPINN,0.0938,,3
2306.08827v2,main_table,L2RE,Heat,2d-CG,vPINN,,,3
