seed,representation,model,relative_l2,steepest_gradient_location_error_radians,pod_input_energy_retained,pod_output_energy_retained
11,grid,ridge,0.16040402865573475,0.1975767254796706,1.0,0.9931402487189414
11,grid,knn,0.14752832075924188,0.14726215563702155,1.0,0.9931402487189414
11,pod,ridge,0.1620018343382606,0.18653206380689397,1.0,0.9931402487189414
11,pod,knn,0.16193736857444585,0.2135301256736813,1.0,0.9931402487189414
17,grid,ridge,0.16096971583696743,0.18653206380689397,1.0,0.9941105959970029
17,grid,knn,0.1423067442402301,0.13130875544301088,1.0,0.9941105959970029
17,pod,ridge,0.16305120340647292,0.1902136176978195,1.0,0.9941105959970029
17,pod,knn,0.16117814760185945,0.2172116795646068,1.0,0.9941105959970029
23,grid,ridge,0.1537905076413854,0.2159844949342983,1.0,0.9944326662201308
23,grid,knn,0.1287979329810138,0.16812429435226625,1.0,0.9944326662201308
23,pod,ridge,0.15618564051026373,0.20616701789183017,1.0,0.9944326662201308
23,pod,knn,0.14456149463565937,0.24543692606170256,1.0,0.9944326662201308
