family,case,metric,lognormal_winner,lognormal_probability,nonnegative_normal_winner,nonnegative_normal_probability,gamma_winner,gamma_probability,winner_consistent_across_models,probability_range
Burgers,1d-C,L2RE,LAAF,0.39221,LAAF,0.31853,LAAF,0.35084,True,0.07368000000000002
Burgers,2d-C,L2RE,LRA,0.80981,LRA,0.80793,LRA,0.80727,True,0.0025399999999999867
Chaotic,GS,L2RE,FBPINN,0.63657,FBPINN,0.46052,FBPINN,0.51932,True,0.17604999999999998
Chaotic,KS,L2RE,LRA,0.62605,LRA,0.62953,LRA,0.63056,True,0.004510000000000014
Heat,2d-CG,L2RE,LAAF,0.78614,LAAF,0.71218,LAAF,0.77496,True,0.07395999999999991
Heat,2d-LT,L2RE,LAAF,0.37455,LAAF,0.3753,LAAF,0.37484,True,0.0007500000000000284
Heat,2d-MS,L2RE,NTK,0.86443,NTK,0.77166,NTK,0.83804,True,0.09277000000000002
Heat,2d-VC,L2RE,LRA,0.57613,LRA,0.57561,LRA,0.57444,True,0.0016900000000000803
High dim,HNd,L2RE,MultiAdam,0.66329,MultiAdam,0.64305,MultiAdam,0.6559,True,0.020240000000000036
High dim,PNd,L2RE,LRA,0.99364,LRA,0.78399,LRA,0.91994,True,0.20965
Inverse,HInv,L2RE,LRA,0.6279,LRA,0.50983,LRA,0.5835,True,0.11807000000000001
Inverse,PInv,L2RE,vPINN,0.99853,vPINN,0.93369,vPINN,0.99359,True,0.06484000000000001
NS,2d-C,L2RE,LAAF,0.62507,LAAF,0.61868,LAAF,0.62499,True,0.006390000000000007
NS,2d-CG,L2RE,LAAF,0.95518,LAAF,0.90177,LAAF,0.93153,True,0.05341000000000007
NS,2d-LT,L2RE,gPINN,0.62071,gPINN,0.61673,gPINN,0.61873,True,0.0039799999999999836
Poisson,2d-C,L2RE,NTK,0.90892,NTK,0.73313,NTK,0.81231,True,0.17579
Poisson,2d-CG,L2RE,NTK,0.98926,NTK,0.98753,NTK,0.99066,True,0.003129999999999966
Poisson,2d-MS,L2RE,LAAF,0.49564,LAAF,0.46391,LAAF,0.48595,True,0.031730000000000036
Poisson,3d-CG,L2RE,LRA,0.99971,LRA,0.99916,LRA,0.9998,True,0.0006399999999999739
Wave,1d-C,L2RE,NTK,0.89414,NTK,0.88424,NTK,0.89028,True,0.00990000000000002
Wave,2d-CG,L2RE,vPINN,0.43558,vPINN,0.42484,vPINN,0.43116,True,0.010740000000000027
Wave,2d-MS,L2RE,vPINN,0.8251,vPINN,0.78496,vPINN,0.808,True,0.040139999999999953
