family,case,method,appendix_table,main_table,absolute_gap,relative_gap,consistent
Inverse,HInv,vPINN,0.456,0.0119,0.4441,37.319327731092436,False
Inverse,PInv,vPINN,0.0245,0.0196,0.004900000000000002,0.2500000000000001,False
Burgers,1d-C,FBPINN,0.232,0.232,0.0,0.0,True
Burgers,1d-C,GAAF,0.052,0.052,0.0,0.0,True
Burgers,1d-C,LAAF,0.0143,0.0143,0.0,0.0,True
Burgers,1d-C,LRA,0.0261,0.0261,0.0,0.0,True
Burgers,1d-C,MultiAdam,0.0485,0.0485,0.0,0.0,True
Burgers,1d-C,NTK,0.0184,0.0184,0.0,0.0,True
Burgers,1d-C,PINN,0.0145,0.0145,0.0,0.0,True
Burgers,1d-C,PINN-w,0.0263,0.0263,0.0,0.0,True
Burgers,1d-C,RAR,0.0332,0.0332,0.0,0.0,True
Burgers,1d-C,gPINN,0.216,0.216,0.0,0.0,True
Burgers,1d-C,vPINN,0.347,0.347,0.0,0.0,True
Burgers,2d-C,GAAF,0.295,0.295,0.0,0.0,True
Burgers,2d-C,LAAF,0.277,0.277,0.0,0.0,True
Burgers,2d-C,LRA,0.26,0.26,0.0,0.0,True
Burgers,2d-C,MultiAdam,0.333,0.333,0.0,0.0,True
Burgers,2d-C,NTK,0.275,0.275,0.0,0.0,True
Burgers,2d-C,PINN,0.324,0.324,0.0,0.0,True
Burgers,2d-C,PINN-w,0.27,0.27,0.0,0.0,True
Burgers,2d-C,RAR,0.345,0.345,0.0,0.0,True
Burgers,2d-C,gPINN,0.327,0.327,0.0,0.0,True
Burgers,2d-C,vPINN,0.638,0.638,0.0,0.0,True
Chaotic,GS,FBPINN,0.0799,0.0799,0.0,0.0,True
Chaotic,GS,GAAF,0.0946,0.0946,0.0,0.0,True
Chaotic,GS,LAAF,0.0947,0.0947,0.0,0.0,True
Chaotic,GS,LRA,0.0937,0.0937,0.0,0.0,True
Chaotic,GS,MultiAdam,0.0937,0.0937,0.0,0.0,True
Chaotic,GS,NTK,0.216,0.216,0.0,0.0,True
Chaotic,GS,PINN,0.319,0.319,0.0,0.0,True
Chaotic,GS,PINN-w,0.158,0.158,0.0,0.0,True
Chaotic,GS,RAR,0.0946,0.0946,0.0,0.0,True
Chaotic,GS,gPINN,0.248,0.248,0.0,0.0,True
Chaotic,GS,vPINN,1.16,1.16,0.0,0.0,True
Chaotic,KS,FBPINN,1.02,1.02,0.0,0.0,True
Chaotic,KS,GAAF,1.0,1.0,0.0,0.0,True
Chaotic,KS,LAAF,1.01,1.01,0.0,0.0,True
Chaotic,KS,LRA,0.957,0.957,0.0,0.0,True
Chaotic,KS,MultiAdam,0.961,0.961,0.0,0.0,True
Chaotic,KS,NTK,0.964,0.964,0.0,0.0,True
Chaotic,KS,PINN,1.01,1.01,0.0,0.0,True
Chaotic,KS,PINN-w,0.986,0.986,0.0,0.0,True
Chaotic,KS,RAR,1.01,1.01,0.0,0.0,True
Chaotic,KS,gPINN,0.994,0.994,0.0,0.0,True
Chaotic,KS,vPINN,0.972,0.972,0.0,0.0,True
Heat,2d-CG,FBPINN,0.0916,0.0916,0.0,0.0,True
Heat,2d-CG,GAAF,0.461,0.461,0.0,0.0,True
Heat,2d-CG,LAAF,0.0239,0.0239,0.0,0.0,True
Heat,2d-CG,LRA,0.125,0.125,0.0,0.0,True
Heat,2d-CG,MultiAdam,0.0712,0.0712,0.0,0.0,True
Heat,2d-CG,NTK,0.116,0.116,0.0,0.0,True
Heat,2d-CG,PINN,0.0364,0.0364,0.0,0.0,True
Heat,2d-CG,PINN-w,0.145,0.145,0.0,0.0,True
Heat,2d-CG,RAR,0.0272,0.0272,0.0,0.0,True
Heat,2d-CG,gPINN,0.0938,0.0938,0.0,0.0,True
Heat,2d-LT,FBPINN,1.01,1.01,0.0,0.0,True
Heat,2d-LT,GAAF,0.999,0.999,0.0,0.0,True
Heat,2d-LT,LAAF,0.999,0.999,0.0,0.0,True
Heat,2d-LT,LRA,0.999,0.999,0.0,0.0,True
Heat,2d-LT,MultiAdam,1.0,1.0,0.0,0.0,True
Heat,2d-LT,NTK,1.0,1.0,0.0,0.0,True
Heat,2d-LT,PINN,0.999,0.999,0.0,0.0,True
Heat,2d-LT,PINN-w,0.999,0.999,0.0,0.0,True
Heat,2d-LT,RAR,0.999,0.999,0.0,0.0,True
Heat,2d-LT,gPINN,1.0,1.0,0.0,0.0,True
Heat,2d-LT,vPINN,1.0,1.0,0.0,0.0,True
Heat,2d-MS,FBPINN,0.082,0.082,0.0,0.0,True
Heat,2d-MS,GAAF,0.985,0.985,0.0,0.0,True
Heat,2d-MS,LAAF,0.074,0.074,0.0,0.0,True
Heat,2d-MS,LRA,0.0879,0.0879,0.0,0.0,True
Heat,2d-MS,MultiAdam,0.218,0.218,0.0,0.0,True
Heat,2d-MS,NTK,0.044,0.044,0.0,0.0,True
Heat,2d-MS,PINN,0.0621,0.0621,0.0,0.0,True
Heat,2d-MS,PINN-w,0.242,0.242,0.0,0.0,True
Heat,2d-MS,RAR,0.0749,0.0749,0.0,0.0,True
Heat,2d-MS,gPINN,0.113,0.113,0.0,0.0,True
Heat,2d-MS,vPINN,0.93,0.93,0.0,0.0,True
Heat,2d-VC,FBPINN,0.952,0.952,0.0,0.0,True
Heat,2d-VC,GAAF,0.849,0.849,0.0,0.0,True
Heat,2d-VC,LAAF,0.642,0.642,0.0,0.0,True
Heat,2d-VC,LRA,0.212,0.212,0.0,0.0,True
Heat,2d-VC,MultiAdam,0.475,0.475,0.0,0.0,True
Heat,2d-VC,NTK,0.214,0.214,0.0,0.0,True
Heat,2d-VC,PINN,1.01,1.01,0.0,0.0,True
Heat,2d-VC,PINN-w,0.235,0.235,0.0,0.0,True
Heat,2d-VC,RAR,0.966,0.966,0.0,0.0,True
Heat,2d-VC,gPINN,2.12,2.12,0.0,0.0,True
Heat,2d-VC,vPINN,0.94,0.94,0.0,0.0,True
High dim,HNd,GAAF,0.521,0.521,0.0,0.0,True
High dim,HNd,LAAF,0.522,0.522,0.0,0.0,True
High dim,HNd,LRA,0.394,0.394,0.0,0.0,True
High dim,HNd,MultiAdam,0.302,0.302,0.0,0.0,True
High dim,HNd,NTK,0.397,0.397,0.0,0.0,True
High dim,HNd,PINN,0.361,0.361,0.0,0.0,True
High dim,HNd,PINN-w,0.459,0.459,0.0,0.0,True
High dim,HNd,RAR,0.357,0.357,0.0,0.0,True
High dim,HNd,gPINN,0.317,0.317,0.0,0.0,True
High dim,PNd,GAAF,0.00775,0.00775,0.0,0.0,True
High dim,PNd,LAAF,0.00414,0.00414,0.0,0.0,True
High dim,PNd,LRA,0.000458,0.000458,0.0,0.0,True
High dim,PNd,MultiAdam,0.00398,0.00398,0.0,0.0,True
High dim,PNd,NTK,0.00464,0.00464,0.0,0.0,True
High dim,PNd,PINN,0.00304,0.00304,0.0,0.0,True
High dim,PNd,PINN-w,0.00258,0.00258,0.0,0.0,True
High dim,PNd,RAR,0.00359,0.00359,0.0,0.0,True
High dim,PNd,gPINN,0.00505,0.00505,0.0,0.0,True
Inverse,HInv,FBPINN,0.927,0.927,0.0,0.0,True
Inverse,HInv,GAAF,0.212,0.212,0.0,0.0,True
Inverse,HInv,LAAF,0.559,0.559,0.0,0.0,True
Inverse,HInv,LRA,0.0509,0.0509,0.0,0.0,True
Inverse,HInv,MultiAdam,0.0804,0.0804,0.0,0.0,True
Inverse,HInv,NTK,0.0752,0.0752,0.0,0.0,True
Inverse,HInv,PINN,1.57,1.57,0.0,0.0,True
Inverse,HInv,PINN-w,0.0526,0.0526,0.0,0.0,True
Inverse,HInv,RAR,1.52,1.52,0.0,0.0,True
Inverse,HInv,gPINN,4.84,4.84,0.0,0.0,True
Inverse,PInv,FBPINN,0.844,0.844,0.0,0.0,True
Inverse,PInv,GAAF,0.254,0.254,0.0,0.0,True
Inverse,PInv,LAAF,0.13,0.13,0.0,0.0,True
Inverse,PInv,LRA,0.154,0.154,0.0,0.0,True
Inverse,PInv,MultiAdam,0.13,0.13,0.0,0.0,True
Inverse,PInv,NTK,0.193,0.193,0.0,0.0,True
Inverse,PInv,PINN,0.0942,0.0942,0.0,0.0,True
Inverse,PInv,PINN-w,0.166,0.166,0.0,0.0,True
Inverse,PInv,RAR,0.0935,0.0935,0.0,0.0,True
Inverse,PInv,gPINN,0.0803,0.0803,0.0,0.0,True
NS,2d-C,FBPINN,0.0845,0.0845,0.0,0.0,True
NS,2d-C,GAAF,0.0379,0.0379,0.0,0.0,True
NS,2d-C,LAAF,0.036,0.036,0.0,0.0,True
