family,case,metric,method,reported_mean,reported_std,winner_probability,rank_entropy
Burgers,1d-C,L2RE,LAAF,0.0143,0.00144,0.39221,0.5762979470253508
Burgers,1d-C,L2RE,PINN,0.0145,0.00159,0.34113,0.5762979470253508
Burgers,1d-C,L2RE,RAR,0.0332,0.0214,0.10535,0.5762979470253508
Burgers,1d-C,L2RE,LRA,0.0261,0.0118,0.08737,0.5762979470253508
Burgers,1d-C,L2RE,NTK,0.0184,0.00366,0.07312,0.5762979470253508
Burgers,1d-C,L2RE,GAAF,0.052,0.0208,0.00046,0.5762979470253508
Burgers,1d-C,L2RE,PINN-w,0.0263,0.00468,0.00025,0.5762979470253508
Burgers,1d-C,L2RE,MultiAdam,0.0485,0.0161,0.00011,0.5762979470253508
Burgers,1d-C,L2RE,gPINN,0.216,0.0334,0.0,0.5762979470253508
Burgers,1d-C,L2RE,vPINN,0.347,0.0349,0.0,0.5762979470253508
Burgers,1d-C,L2RE,FBPINN,0.232,0.0914,0.0,0.5762979470253508
Burgers,2d-C,L2RE,LRA,0.26,0.00578,0.81014,0.28209790719898187
Burgers,2d-C,L2RE,LAAF,0.277,0.0139,0.11915,0.28209790719898187
Burgers,2d-C,L2RE,PINN-w,0.27,0.00393,0.05796,0.28209790719898187
Burgers,2d-C,L2RE,NTK,0.275,0.00478,0.01115,0.28209790719898187
Burgers,2d-C,L2RE,GAAF,0.295,0.0117,0.0016,0.28209790719898187
Burgers,2d-C,L2RE,PINN,0.324,0.000754,0.0,0.28209790719898187
Burgers,2d-C,L2RE,RAR,0.345,4.56e-05,0.0,0.28209790719898187
Burgers,2d-C,L2RE,MultiAdam,0.333,0.00865,0.0,0.28209790719898187
Burgers,2d-C,L2RE,gPINN,0.327,0.000125,0.0,0.28209790719898187
Burgers,2d-C,L2RE,vPINN,0.638,0.0147,0.0,0.28209790719898187
Chaotic,GS,L2RE,FBPINN,0.0799,0.0169,0.63589,0.5080878951307284
Chaotic,GS,L2RE,PINN-w,0.158,0.091,0.13973,0.5080878951307284
Chaotic,GS,L2RE,PINN,0.319,0.318,0.09159,0.5080878951307284
Chaotic,GS,L2RE,MultiAdam,0.0937,1.21e-05,0.05126,0.5080878951307284
Chaotic,GS,L2RE,LRA,0.0937,4.42e-05,0.05096,0.5080878951307284
Chaotic,GS,L2RE,RAR,0.0946,0.000946,0.02051,0.5080878951307284
Chaotic,GS,L2RE,gPINN,0.248,0.11,0.00647,0.5080878951307284
Chaotic,GS,L2RE,NTK,0.216,0.0773,0.00359,0.5080878951307284
Chaotic,GS,L2RE,vPINN,1.16,0.143,0.0,0.5080878951307284
Chaotic,GS,L2RE,LAAF,0.0947,7.07e-05,0.0,0.5080878951307284
Chaotic,GS,L2RE,GAAF,0.0946,0.000115,0.0,0.5080878951307284
Chaotic,KS,L2RE,LRA,0.957,0.00285,0.63197,0.4337870180593137
Chaotic,KS,L2RE,MultiAdam,0.961,0.00477,0.19758,0.4337870180593137
Chaotic,KS,L2RE,PINN-w,0.986,0.0224,0.09208,0.4337870180593137
Chaotic,KS,L2RE,NTK,0.964,0.00494,0.07612,0.4337870180593137
Chaotic,KS,L2RE,FBPINN,1.02,0.0231,0.00216,0.4337870180593137
Chaotic,KS,L2RE,GAAF,1.0,0.0124,9e-05,0.4337870180593137
Chaotic,KS,L2RE,PINN,1.01,0.00128,0.0,0.4337870180593137
Chaotic,KS,L2RE,RAR,1.01,0.000863,0.0,0.4337870180593137
Chaotic,KS,L2RE,gPINN,0.994,0.00383,0.0,0.4337870180593137
Chaotic,KS,L2RE,vPINN,0.972,0.00058,0.0,0.4337870180593137
Chaotic,KS,L2RE,LAAF,1.01,0.00212,0.0,0.4337870180593137
Heat,2d-CG,L2RE,LAAF,0.0239,0.00139,0.78347,0.26708981231856604
Heat,2d-CG,L2RE,RAR,0.0272,0.00322,0.16643,0.26708981231856604
Heat,2d-CG,L2RE,PINN,0.0364,0.00882,0.04998,0.26708981231856604
Heat,2d-CG,L2RE,FBPINN,0.0916,0.0329,0.00012,0.26708981231856604
Heat,2d-CG,L2RE,PINN-w,0.145,0.00477,0.0,0.26708981231856604
Heat,2d-CG,L2RE,LRA,0.125,0.0043,0.0,0.26708981231856604
Heat,2d-CG,L2RE,NTK,0.116,0.0121,0.0,0.26708981231856604
Heat,2d-CG,L2RE,MultiAdam,0.0712,0.013,0.0,0.26708981231856604
Heat,2d-CG,L2RE,gPINN,0.0938,0.0145,0.0,0.26708981231856604
Heat,2d-CG,L2RE,vPINN,1.67,0.00362,0.0,0.26708981231856604
Heat,2d-CG,L2RE,GAAF,0.461,0.263,0.0,0.26708981231856604
Heat,2d-LT,L2RE,LAAF,0.999,0.000449,0.37387,0.6513361468996575
Heat,2d-LT,L2RE,GAAF,0.999,0.00022,0.23467,0.6513361468996575
Heat,2d-LT,L2RE,RAR,0.999,0.000156,0.17731,0.6513361468996575
Heat,2d-LT,L2RE,PINN-w,0.999,8.01e-05,0.0942,0.6513361468996575
Heat,2d-LT,L2RE,LRA,0.999,7.37e-05,0.08756,0.6513361468996575
Heat,2d-LT,L2RE,PINN,0.999,1.05e-05,0.03236,0.6513361468996575
Heat,2d-LT,L2RE,NTK,1.0,0.000282,3e-05,0.6513361468996575
Heat,2d-LT,L2RE,MultiAdam,1.0,3.85e-05,0.0,0.6513361468996575
Heat,2d-LT,L2RE,gPINN,1.0,9.82e-05,0.0,0.6513361468996575
Heat,2d-LT,L2RE,vPINN,1.0,0.0,0.0,0.6513361468996575
Heat,2d-LT,L2RE,FBPINN,1.01,0.000123,0.0,0.6513361468996575
